feature,dtype,min,max,mean,std,mean_legitimate,mean_phishing,min_legitimate,max_legitimate,min_phishing,max_phishing
url_length,int64,16.0,104.0,48.75907780979827,23.591349151101166,35.81460023174971,61.569954128440365,16.0,57.0,23.0,104.0
hostname_length,int64,7.0,70.0,22.091066282420748,14.524065521282257,15.125144843568945,28.985091743119266,7.0,25.0,10.0,70.0
path_length,int64,0.0,79.0,17.14985590778098,19.699164502886976,11.457705677867903,22.783256880733944,0.0,21.0,5.0,79.0
count_dots,int64,1.0,5.0,2.3636887608069164,1.209356508800446,1.8366164542294323,2.885321100917431,1.0,2.0,1.0,5.0
count_hyphens,int64,0.0,4.0,0.9642651296829972,1.346525989702926,0.12977983777520277,1.790137614678899,0.0,2.0,0.0,4.0
count_at,int64,0.0,1.0,0.1170028818443804,0.32142371954242943,0.0,0.23279816513761467,0.0,0.0,0.0,1.0
count_question,int64,0.0,1.0,0.15561959654178675,0.3624943278369445,0.07879490150637311,0.231651376146789,0.0,1.0,0.0,1.0
count_equals,int64,0.0,1.0,0.15561959654178675,0.3624943278369445,0.07879490150637311,0.231651376146789,0.0,1.0,0.0,1.0
count_slash,int64,2.0,6.0,3.4985590778097984,0.8012045678090659,3.750869061413673,3.248853211009174,2.0,6.0,3.0,4.0
count_percent,int64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
count_digits,int64,0.0,12.0,2.8697406340057636,3.889138157736584,0.8736964078794901,4.845183486238532,0.0,6.0,0.0,12.0
count_letters,int64,8.0,83.0,36.75619596541787,19.81452718453337,27.987253765932792,45.434633027522935,12.0,48.0,8.0,83.0
has_ip,int64,0.0,1.0,0.1106628242074928,0.31371414304413237,0.0,0.22018348623853212,0.0,0.0,0.0,1.0
is_https,int64,0.0,1.0,0.6876080691642651,0.463468674652836,0.8922363847045192,0.48509174311926606,0.0,1.0,0.0,1.0
num_subdomains,int64,0.0,3.0,0.7654178674351585,0.9370765355380375,0.8366164542294322,0.694954128440367,0.0,1.0,0.0,3.0
has_suspicious_keyword,int64,0.0,1.0,0.6420749279538905,0.47938994028545995,0.32329084588644263,0.9575688073394495,0.0,1.0,0.0,1.0
